Year;Month;DayofMonth;DayOfWeek;Carrier;OriginAirportID;OriginAirportName;OriginCity;OriginState;DestAirportID;DestAirportName;DestCity;DestState;CRSDepTime;DepDelay;DepDel15;CRSArrTime;ArrDelay;ArrDel15;Cancelled
2013;10;22;2;UA;15304;Tampa International;Tampa;FL;11292;Denver International;Denver;CO;825;-2;False;1020;-7;False;False
2013;4;27;6;DL;15304;Tampa International;Tampa;FL;12892;Los Angeles International;Los Angeles;CA;1926;47;True;2153;41;True;False
2013;8;21;3;US;15304;Tampa International;Tampa;FL;14100;Philadelphia International;Philadelphia;PA;800;0;;1031;0;True;True
2013;10;3;4;FL;15304;Tampa International;Tampa;FL;10397;Hartsfield-Jackson Atlanta International;Atlanta;GA;1130;-7;False;1257;-10;False;False
2013;7;25;4;UA;15304;Tampa International;Tampa;FL;11618;Newark Liberty International;Newark;NJ;1009;-4;False;1256;-2;False;False
2013;8;6;2;US;15304;Tampa International;Tampa;FL;14100;Philadelphia International;Philadelphia;PA;800;-4;False;1031;-3;False;False
2013;9;6;5;UA;15304;Tampa International;Tampa;FL;12264;Washington Dulles International;Washington;DC;1338;-4;False;1551;-3;False;False
2013;8;27;2;WN;15304;Tampa International;Tampa;FL;13495;Louis Armstrong New Orleans International;New Orleans;LA;935;-4;False;1005;-5;False;False
2013;9;20;5;FL;15304;Tampa International;Tampa;FL;10397;Hartsfield-Jackson Atlanta International;Atlanta;GA;1858;3;False;2026;4;False;False
2013;7;6;6;DL;15304;Tampa International;Tampa;FL;10397;Hartsfield-Jackson Atlanta International;Atlanta;GA;1830;3;False;2003;-3;False;False
2013;4;16;2;FL;15304;Tampa International;Tampa;FL;10821;Baltimore/Washington International Thurgood Marshall;Baltimore;MD;1825;0;False;2045;-5;False;False
2013;10;1;2;DL;15304;Tampa International;Tampa;FL;10397;Hartsfield-Jackson Atlanta International;Atlanta;GA;1220;0;False;1351;-6;False;False
2013;4;22;1;WN;15304;Tampa International;Tampa;FL;10529;Bradley International;Hartford;CT;2040;58;True;2330;37;True;False
2013;8;8;4;DL;15304;Tampa International;Tampa;FL;10397;Hartsfield-Jackson Atlanta International;Atlanta;GA;525;-5;False;648;-5;False;False
2013;5;18;6;US;15304;Tampa International;Tampa;FL;11057;Charlotte Douglas International;Charlotte;NC;1715;-4;False;1857;-4;False;False
2013;10;16;3;WN;15304;Tampa International;Tampa;FL;14843;Luis Munoz Marin International;San Juan;PR;1340;11;False;1635;0;False;False
2013;5;25;6;DL;15304;Tampa International;Tampa;FL;10397;Hartsfield-Jackson Atlanta International;Atlanta;GA;1445;-4;False;1616;-15;False;False
